Title,Description,Author,Category,Source,Link,Class_Model1,Class_Model2
Announcing Windows 10 Insider Preview Build 19624,Hello Windows Insiders today we re releasing Windows 10 Insider Preview Build 19624 to Windows Insiders in the Fast ring You can check out our Windows Insider Program documentation here including a list of all the new features and updates released in builds so far Not seeing any of the features in this build Check your 8230 The post Announcing Windows 10 Insider Preview Build 19624 appeared first on Windows Blog ,Brandon LeBlanc,PC,Microsoft Windows Blog,https://blogs.windows.com/windowsexperience/2020/05/06/announcing-windows-10-insider-preview-build-19624/,4,2
Introducing Surface Go 2 Surface Book 3 Surface Headphones 2 and Surface Earbuds,Available for preorder today new Surface devices and accessories are designed to help you work learn connect and play from anywhere The way we work connect and learn continues to change right in front of us Our devices have become our window to the world our office our school and our social space To 8230 The post Introducing Surface Go 2 Surface Book 3 Surface Headphones 2 and Surface Earbuds appeared first on Windows Blog ,Panos Panay,Surface,Microsoft Windows Blog,https://blogs.windows.com/devices/2020/05/06/introducing-surface-go-2-surface-book-3-surface-headphones-2-and-surface-earbuds/,4,1
Now you can download Forza Street onto your mobile devices,Forza Street is now available all over the world to download on iOS and Android devices You can play across multiple devices thanks to Xbox Live Players will be able to unlock Xbox Achievements and transfer game progress across Windows iOS and Android devices In this new free to play experience players jump into the game for 8230 The post Now you can download Forza Street onto your mobile devices appeared first on Windows Blog ,Athima Chansanchai,PC,Microsoft Windows Blog,https://blogs.windows.com/windowsexperience/2020/05/05/now-you-can-download-forza-street-onto-your-mobile-devices/,4,2
Check out 3 ways to help your grad celebrate in the age of social distancing, Tis the season for high school and college graduations but how do you help your grad celebrate while following social distancing guidelines to keep us all safe Schools around the world are responding in different ways with some conducting online ceremonies or offering drive through diploma pickup while others are postponing commencement until it can 8230 The post Check out 3 ways to help your grad celebrate in the age of social distancing appeared first on Windows Blog ,Steve Clarke,Uncategorized,Microsoft Windows Blog,https://blogs.windows.com/windowsexperience/2020/05/04/check-out-3-ways-to-help-your-grad-celebrate-in-the-age-of-social-distancing/,4,18
Accelerating innovation in Windows 10 to meet customers where they are,Three months ago I took on the role of leading Windows and Devices What excited me about this was the opportunity to bring together our incredible teams to work on a product that a billion people all over the world rely on every day to work learn create and have fun Since taking on the 8230 The post Accelerating innovation in Windows 10 to meet customers where they are appeared first on Windows Blog ,Panos Panay,Uncategorized,Microsoft Windows Blog,https://blogs.windows.com/windowsexperience/2020/05/04/accelerating-innovation-in-windows-10-to-meet-customers-where-they-are/,4,2
Now available Samsung Galaxy Book Flex and Samsung Galaxy Book Ion,Announced last fall two new Samsung Windows 10 PCs are now available the Galaxy Book Flex and the Galaxy Book Ion The Samsung Galaxy Book Flex is a 2 in 1 PC with a QLED display packed with all the sharpness detail and colors you re used to on your TV combined with an ultra slim convertible design that 8230 The post Now available Samsung Galaxy Book Flex and Samsung Galaxy Book Ion appeared first on Windows Blog ,Athima Chansanchai,PC,Microsoft Windows Blog,https://blogs.windows.com/windowsexperience/2020/05/04/now-available-samsung-galaxy-book-flex-and-samsung-galaxy-book-ion/,4,6
HP reveals redesigned and highly customizable OMEN gaming desktops,As people stay at home due to lockdowns across the country they re turning to games more than ever to relieve stress and connect with others Now they ve got more hardware options to choose from with HP s latest additions to their gaming suite the OMEN 25L and 30L Desktops On both models gamers will find visuals 8230 The post HP reveals redesigned and highly customizable OMEN gaming desktops appeared first on Windows Blog ,Athima Chansanchai,PC,Microsoft Windows Blog,https://blogs.windows.com/windowsexperience/2020/05/04/hp-reveals-redesigned-and-highly-customizable-omen-gaming-desktops/,4,2
Getting the May 2020 Update Ready for Release UPDATED,Hello Windows Insiders We are continuing to work on getting the Windows 10 May 2020 Update 20H1 ready for release Today we are releasing Build 19041 208 to Windows Insiders in the Release Preview ring While we originally thought that Build 19041 207 would be the final build we made the decision to take in one more 8230 The post Getting the May 2020 Update Ready for Release 8211 UPDATED appeared first on Windows Blog ,Brandon LeBlanc,PC,Microsoft Windows Blog,https://blogs.windows.com/windowsexperience/2020/04/30/getting-the-may-2020-update-ready-for-release-updated/,4,2
Rust WinRT Public Preview,We are excited to announce that the Rust WinRT project finally has a permanent and public home on GitHub https github com microsoft winrt rs Rust WinRT follows in the tradition established by C WinRT of building language projections for the Windows Runtime using standard languages and compilers providing a natural and idiomatic way for Rust developers to call Windows APIs Rust WinRT lets 8230 The post Rust WinRT Public Preview appeared first on Windows Blog ,Kenny Kerr,PC,Microsoft Windows Blog,https://blogs.windows.com/windowsdeveloper/2020/04/30/rust-winrt-public-preview/,4,2
How to Use Tile Window Multitasking in MacOS Catalina,MacOS Catalina introduced a handy way to tile windows for multitasking improving upon the split screen multitasking features that were available in previous MacOS releases These new simple tiling window multitasking options are available from any window and now you can easily choose to tile a window to the left or right side of the Read More,Oliver Haslam,Mac OS X,Mac OS X Daily,https://osxdaily.com/2020/05/08/how-use-tile-window-multitasking-macos/,4,5
How to Switch AirPods Between Devices iPhone iPad Mac Apple Watch ,How would you like to switch AirPods between iPhone iPad and Mac Or what if you 8217 d like to switch AirPods from iPhone to Apple Watch or even Apple TV If you have a pair of AirPods and multiple Apple devices you can easily switch AirPods and AirPods Pro between any of your other Apple products Read More,Paul Horowitz,Apple TV,Mac OS X Daily,https://osxdaily.com/2020/05/01/how-switch-airpods-between-iphone-ipad-mac-apple-watch-tv/,4,4
How to Setup Use iCloud Photos on Mac,Want to use iCloud Photos on Mac In its simplest form iCloud Photos is a sync service that makes sure your iPhone iPad Apple Watch Apple TV and Mac all have every photo you 8217 ve taken all ready at a moment 8217 s notice That means you can access the photos from any other device with the feature Read More,Oliver Haslam,Mac OS X,Mac OS X Daily,https://osxdaily.com/2020/04/30/how-enable-icloud-photos-mac/,4,4
How to Enable Startup Boot Sound Chime on Newer Macs,Want to re enable the startup boot chime sound effect on a new Mac You can do that with a command line string entered into the Macs Terminal As you may know new Macs default to not making a startup boot chime sound effect this is in contrast to every prior Mac model which included a Read More,Paul Horowitz,Command Line,Mac OS X Daily,https://osxdaily.com/2020/04/29/how-enable-startup-boot-sound-newer-mac/,4,4
How to Fix Cron Permission Issues in MacOS Catalina Mojave,Some advanced Mac users may have noticed that certain shell scripts with cron cron jobs and crontab are either not working at all or not able to function properly in the newest versions of MacOS notably Mojave 10 14 Catalina 10 15 and later Depending on the situation this may be accompanied by a permissions error an Read More,Paul Horowitz,Command Line,Mac OS X Daily,https://osxdaily.com/2020/04/27/fix-cron-permissions-macos-full-disk-access/,0,4
How to View Page Source in Safari on Mac,Viewing a web pages source code in Safari and other web browsers is a fairly routine activity for many people who work with the web for a living or even as a hobby Unlike some other browsers to view page source in Safari you must first enable a developer toolset for the browser to be Read More,Paul Horowitz,Mac OS X,Mac OS X Daily,https://osxdaily.com/2020/04/27/view-page-source-safari-mac/,4,4
How to Always Show Library Folder in MacOS Catalina User Home Directory,More advanced Mac users may wish to have the user Library folder always visible in their Home directory for various reasons With MacOS Catalina you can have the user Library folder always shown and visible by toggling a settings option in the Finder This article will show you how to do that with the end Read More,Paul Horowitz,Mac OS X,Mac OS X Daily,https://osxdaily.com/2020/04/23/always-show-user-library-folder-macos-catalina/,0,1
Ignore Accidental Touch Bar Input with Bar None for MacBook Pro,Do you accidentally touch the Touch Bar on MacBook Pro and trigger an action without meaning to Then a free little third party app called Bar None may be what you 8217 re looking for One of the complaints about the Touch Bar on MacBook Pro is how easy it is to accidentally trigger input For example Read More,Paul Horowitz,Mac OS X,Mac OS X Daily,https://osxdaily.com/2020/04/21/ignore-accidental-touch-bar-input-bar-none-mac/,4,2
How to Download Full MacOS Installers from Command Line,Mac users can download full complete MacOS installers directly from the command line This is an incredibly useful feature particularly if you want to build USB boot drive installers you manage multiple Macs or you simply want to have full access to a complete installer application of MacOS for any other purpose With this particular Read More,Paul Horowitz,Command Line,Mac OS X Daily,https://osxdaily.com/2020/04/13/how-download-full-macos-installer-terminal/,4,4
How to Pair Playstation 4 Controller with macOS Catalina,Mac users can pair and use Playstation 4 controllers with their Mac which makes for an excellent gaming experience The ability to pair PS4 controllers to the Mac has been around a while but with MacOS Catalina 10 15 onward it 8217 s easier than before you can pair Xbox One controllers to Mac now too just as Read More,Oliver Haslam,Games,Mac OS X Daily,https://osxdaily.com/2020/04/11/how-pair-playstation4-controller-mac/,4,4
MacOS Catalina 10 15 4 Supplemental Update Released with Bug Fixes,Apple has released MacOS Catalina 10 15 4 Supplemental Update for Mac users running macOS Catalina The new supplemental update includes a few bug fixes including resolving a problem with FaceTime calls that was also patched in the iOS 13 4 1 and iPadOS 13 4 1 updates The full release notes accompanying the MacOS Catalina 10 15 4 Supplemental Update are available Read More,Paul Horowitz,Mac OS X,Mac OS X Daily,https://osxdaily.com/2020/04/08/macos-catalina-10-15-4-supplemental-update-released-with-bug-fixes/,4,4
How to Rotate Photos on Mac with Photos App,If you use the Photos app on Mac to manage your photo libraries you may occasionally need to rotate a picture or two in your collection Perhaps you snapped a photo in horizontal landscape mode but you meant it to be vertical in portrait or maybe you just want to rotate a picture for some Read More,Paul Horowitz,Mac OS X,Mac OS X Daily,https://osxdaily.com/2020/04/06/how-rotate-photos-mac-photos-app/,4,4
How to Play Apple Arcade Games on a Mac,The arrival of Apple Arcade last year was something that we 8217 d been looking forward to and was rumored for a long time Now it 8217 s here and you can play games on iPhone iPad and Mac And it 8217 s the last one we 8217 re going to cover today so if you 8217 ve been wondering how to play Read More,Oliver Haslam,Games,Mac OS X Daily,https://osxdaily.com/2020/04/05/how-play-apple-arcade-games-mac/,4,4
How to Use Xbox One Controller with Mac in MacOS Catalina,Ever wanted to use an Xbox One controller with your Mac for gaming You can do that easier than ever before with the latest versions of MacOS because from macOS 10 15 Catalina and beyond Apple has added native support for Xbox One game controllers A paired Xbox One controller can be used to play any Read More,Oliver Haslam,Games,Mac OS X Daily,https://osxdaily.com/2020/04/04/how-use-xbox-one-controller-mac/,4,4
How to Change Refresh Rate on Mac Displays,Changing the refresh rate of a display can be needed by some Mac users particularly if they work with movie files and video editing Generally speaking most users should keep their displays set to the default refresh rate for their particular screen but if you need to adjust refresh rate you 8217 ll find it 8217 s simple to Read More,Paul Horowitz,Mac OS X,Mac OS X Daily,https://osxdaily.com/2020/03/29/change-refresh-rate-display-mac/,4,4
Ready Set Code ,On June 22 WWDC20 takes off Get ready for the first global all online WWDC by downloading the Apple Developer app to stay notified on all the latest news with updates for events and sessions More announcements to come in early June And now through May 17 student developers from around the world can showcase their love of coding by submitting their own Swift playground to the Swift Student Challenge Winners will receive an exclusive WWDC20 jacket and pin set Learn about the challenge,,,Apple,https://developer.apple.com/news/?id=05052020a,4,4
Billing Grace Period Data Now Available in App Store Connect,The Sales and Trends section of App Store Connect now provides details about the number of subscribers in Billing Grace Period a feature that lets subscribers with unsuccessful auto renewals continue accessing your app s paid content while Apple attempts to collect payment allowing them time to fix the issue New subscription events in Sales and Trends indicate the number of renewals and cancelations during Billing Grace Period and the Subscription Report includes a new column with the total number of subscriptions in Billing Grace Period Get details on viewing subscriptions data,,,Apple,https://developer.apple.com/news/?id=05042020a,4,2
Apple Search Ads Now Available in Russia,Promote your apps to customers on the App Store in Russia with Apple Search Ads an efficient and easy way for people to discover your app the very moment they re searching for apps like yours If you sign up for a new Apple Search Ads account you can take advantage of a 100 USD credit to reach customers in 60 countries and regions Learn about Search Ads,,,Apple,https://developer.apple.com/news/?id=04272020a,4,4
The App Store Expands to 20 New Countries,You can now distribute your apps in 175 countries and regions on the App Store allowing you to increase your impact and grow your business As you deliver great experiences to an even more diverse audience learn how you can localize your apps product pages and marketing materials to better connect with customers in different locations As a reminder to allow your app to appear in these new countries your membership Account Holder first needs to accept the updated Program License Agreement by signing in to their account on the Apple Developer website If you have a Paid Applications Agreement the Account Holder will also need to accept this updated agreement in App Store Connect To make your app automatically available in all new countries select the New Countries or Regions checkbox View your accountLearn about expanding to new markets,,,Apple,https://developer.apple.com/news/?id=04212020a,4,6
Updated Guidelines for HealthKit,HealthKit allows your app to provide valuable health related insights to users by working with the Apple Health app The updated HealthKit Human Interface Guidelines include guidance on using the Apple Health icon in your app enhanced editorial guidance on using Apple Health related terms and clarified privacy and data usage guidelines View Human Interface GuidelinesWorks with Apple Health badge now available You can also now use the Works with Apple Health badge to promote your HealthKit enabled apps Download the badge and review the guidelines for using the badge on marketing communications Learn about the badge,,,Apple,https://developer.apple.com/news/?id=04202020a,4,4
Upcoming price and tax changes in Barbados Malaysia Moldova and Uzbekistan,When taxes or foreign exchange rates change we sometimes need to update prices on the App Store In the next few days prices of apps on the App Store and in app purchases excluding auto renewable subscriptions will change in Barbados Moldova and Uzbekistan due to new value added taxes Your proceeds will be adjusted accordingly and will be calculated based on the tax exclusive price A low value added tax was also introduced in Malaysia Prices on the App Store in Malaysia will not change and proceeds will be adjusted accordingly You can download the updated price tier charts now Once these changes go into effect the Pricing and Availability section of My Apps will be updated You can change the price of your apps and in app purchases including auto renewable subscriptions at any time in App Store Connect If you offer subscriptions you can choose to preserve prices for existing subscribers View updated price tiers,,,Apple,https://developer.apple.com/news/?id=04142020a,0,2
New Financial Report Coming to App Store Connect,Starting April 2020 you can get more details on the final proceeds of your apps and in app purchases including the transaction and settlement dates for purchases as well as the state or province for transactions in the United States and Canada Simply download the All Countries or Regions Detailed report in App Store Connect View App Store Connect Help,,,Apple,https://developer.apple.com/news/?id=04012020a,0,2
Deadline for App Updates Has Been Extended,We greatly value the worldwide developer community and appreciate your commitment to making a difference in people s lives through the power of technology To accommodate developers who may need additional time to update their existing apps on the App Store the deadline for adhering to the requirements below has been extended to June 30 2020 Apps for iPhone or iPad must be built with the iOS 13 SDK or later and use an Xcode storyboard to provide the app s launch screen iPhone apps must support all iPhone screens and all iPad apps must support all iPad screens Apps for Apple Watch must be built with the watchOS 6 SDK or later Apps that authenticate or set up user accounts must support Sign in with Apple if required by guideline 4 8 of the App Store Review Guidelines Apps in the Kids category must be in full compliance with guideline 1 3 and guideline 5 1 4 of the App Store Review Guidelines Apps using HTML 5 must be in full compliance with guideline 4 7 sections 4 5 and 6 of the App Store Review Guidelines Read the App Store Review Guidelines Learn about submitting apps,,,Apple,https://developer.apple.com/news/?id=03262020b,4,2
Apple Developer App Update Now Available,The Apple Developer app delivers in depth information from Apple experts all year round with the latest developer news informative videos and more This new version lets you watch videos at multiple playback speeds interact with the full video transcripts and share stories from the Discover tab It also includes accessibility improvements and other enhancements Download on the App Store,,,Apple,https://developer.apple.com/news/?id=03262020a,4,4
ARKit 3 5 Now Available,ARKit 3 5 takes advantage of the new LiDAR Scanner and depth sensing system on iPad Pro to support a new generation of AR apps that use Scene Geometry for enhanced scene understanding and object occlusion And now AR experiences on iPad Pro are even better with instant AR placement and improved Motion Capture and People Occlusion all without the need to write any new code Learn more about ARKit 3 5,,,Apple,https://developer.apple.com/news/?id=03242020a,4,2
Universal Purchase for Mac Apps Now Available,The macOS version of your app can now be included in a universal purchase allowing customers to enjoy your app and in app purchases across iOS iPadOS macOS watchOS and tvOS by purchasing only once Get started by using a single bundle ID for your apps in Xcode and setting up your app record for universal purchase in App Store Connect Learn more about universal purchase,,,Apple,https://developer.apple.com/news/?id=03232020b,4,2
The App Store is Expanding to New Countries,Thanks to the creativity and innovation of developers like you the App Store has become much more than the world s safest marketplace It s grown into a vibrant platform with great apps that influence culture and change lives with over half a billion visitors each week This wide reaching platform has helped generate over 155 billion in developer earnings just from sales of apps and in app purchases Today the App Store gives you the opportunity to connect with users in 155 countries or regions We re pleased to announce that the App Store will expand even farther this year with upcoming support for 20 new countries allowing you to increase your impact and grow your business in new markets To allow your app to appear in these new countries your membership Account Holder first needs to accept the updated Program License Agreement by signing in to their account on the Apple Developer website If you have a Paid Applications Agreement the Account Holder will also need to accept this updated agreement in App Store Connect You can then select the New Countries or Regions checkbox in the Pricing and Availability section of your app information page to automatically make your app available in all new countries Completing these steps by April 10 2020 will help make sure your app is ready to be published as content initially becomes available across new locations We ll let you know when you can choose from specific new countries and update the default subscription pricing for these locations View your account,,,Apple,https://developer.apple.com/news/?id=03232020a,4,2
Ensuring the Credibility of Health Safety Information,The App Store should always be a safe and trusted place for users to download apps Now more than ever that commitment takes on special significance as the world fights the COVID 19 pandemic Communities around the world are depending on apps to be credible news sources helping users understand the latest health innovations find out where they can get help if needed or provide assistance to their neighbors To help fulfill these expectations we re evaluating apps critically to ensure data sources are reputable and that developers presenting these apps are from recognized entities such as government organizations health focused NGOs companies deeply credentialed in health issues and medical or educational institutions Only developers from one of these recognized entities should submit an app related to COVID 19 Entertainment or game apps with COVID 19 as their theme will not be allowed We understand the need to get these apps into the hands of customers as soon as possible We encourage developers that meet this criteria to select Time Sensitive Event on the expedite request form to ensure prioritized review since App Store review may take longer If you are developing an app on behalf of a client please advise your client to add you to the development team of their Apple Developer account If your client does not yet have an Apple Developer account they can enroll in the Apple Developer Program Nonprofit organizations accredited educational institutions and government entities that plan to distribute only free apps on the App Store can request to have their annual membership fee waived if based in an eligible country Learn about membership fee waiversRead the App Store Review GuidelinesRequest an expedited review,,,Apple,https://developer.apple.com/news/?id=03142020a,4,13
WWDC20 Coming this summer ,This June WWDC20 brings a completely new online experience to millions of talented and creative developers around the world Join us for a fully packed program including Keynote and sessions to gain early access to the future of Apple platforms and engage with Apple engineers Dive into an exciting learning experience and discover how to create your most innovative apps yet using the latest Apple technologies Stay tuned for details on the WWDC20 website by email and in the Apple Developer app ,,,Apple,https://developer.apple.com/news/?id=03132020a,4,4
Updated App Store Review Guidelines Now Available,The App Store is dedicated to the best store experience for everyone To continue providing a safe experience for users and help you successfully develop apps that are secure high quality reliable and that respect user privacy the App Store Review Guidelines have been updated The changes impact replies to reviews spam push notifications Sign in with Apple data collection and storage mobile device management and more Read the App Store Review Guidelines,,,Apple,https://developer.apple.com/news/?id=03042020a,4,2
Submit Your iPhone Apps to the App Store,iOS 13 is now running on 77 of all iOS devices introduced in the last four years worldwide Deliver great user experiences by seamlessly integrating with Dark Mode Sign in with Apple and the latest advances in ARKit 3 Core ML 3 and Siri Starting April 30 2020 all iPhone apps submitted to the App Store must be built with the iOS 13 SDK or later Take advantage of Xcode features such as storyboards including launch storyboards Auto Layout and SwiftUI to ensure your app s interface elements and layouts automatically fit the display of all iPhone models regardless of size or aspect ratio Starting April 30 2020 all apps submitted to the App Store must use an Xcode storyboard to provide the app s launch screen and all iPhone apps must support all iPhone screens Learn about submitting your apps,,,Apple,https://developer.apple.com/news/?id=03042020b,4,2
Submit Your iPad Apps to the App Store,iPadOS is now running on 79 of all iPad devices introduced in the last four years worldwide With iPadOS you can deliver multiwindow experiences add full drawing experiences for Apple Pencil and contribute fonts for systemwide use You can also take advantage of Dark Mode Sign in with Apple and the latest advances in ARKit 3 Core ML 3 and Siri Starting April 30 2020 all iPad apps submitted to the App Store must be built with the iOS 13 SDK or later Take advantage of Xcode features such as storyboards including launch storyboards Auto Layout and SwiftUI to ensure your app s interface elements and layouts automatically fit the display of all iPad models regardless of size or aspect ratio Starting April 30 2020 all apps submitted to the App Store must use an Xcode storyboard to provide the app s launch screen and all iPad apps must support all iPad screens Learn about submitting your apps,,,Apple,https://developer.apple.com/news/?id=03042020c,4,2
Updated Resources and Guidelines for Sign in with Apple,Make it easy for users to sign in to your apps and websites using the Apple ID they already have With built in privacy and security features Sign in with Apple is a great way to help users set up an account sign in and engage with your app quickly and easily All accounts are protected with two factor authentication and Apple will not track users activity in your app or website See the latest App Store Review Guidelines and Human Interface Guidelines to learn how to provide great user experiences with Sign in with Apple and get new downloadable design resources including left aligned center aligned and logo only buttons All new apps and app updates submitted to the App Store must follow these guidelines by April 30 2020 View the App Store Review GuidelinesView the Human Interface Guidelines,,,Apple,https://developer.apple.com/news/?id=03042020d,4,4
Swift Playgrounds Now Available on Mac,Now you can learn and explore coding using Swift Playgrounds on Mac Take advantage of the same great experimenting environment from iPad updated with a unique Mac experience that includes a new sidebar Touch Bar support and code suggestions that provide additional help You can even use the same playground file on both platforms Swift Playgrounds is an easy way to try out new code for your app then use that code for development in Xcode View on the Mac App Store,,,Apple,https://developer.apple.com/news/?id=02122020a,4,4
Offer Custom Apps on Apple School Manager,You can now meet the unique needs of educational institutions by privately offering apps you ve customized just for them Organizations that you identify in App Store Connect will see the app and be able to purchase it in volume on Apple School Manager a service that lets educational institutions buy content configure automatic device enrollment and create accounts for students and staff Educational institutions can also use this feature to distribute proprietary apps for internal use Learn about distributing custom apps,,,Apple,https://developer.apple.com/news/?id=02062020a,4,2
Get Your watchOS Apps Ready for In App Purchase,With the public release of watchOS 6 2 you ll be able to offer in 8209 app purchases directly in your watchOS apps so users can access premium content digital goods subscriptions and more all right from their wrist Get started today by downloading Xcode 11 4 beta implementing the StoreKit API and build for the beta version of watchOS 6 2 View WatchKit documentationView StoreKit documentation,,,Apple,https://developer.apple.com/news/?id=02052020b,4,2
Updates to Universal Purchase and App Store Categories,Starting in March 2020 you ll be able to distribute iOS iPadOS macOS and tvOS versions of your app as a universal purchase allowing customers to enjoy your app and in 8209 app purchases across platforms by purchasing only once You can choose to create a new app for these platforms using a single app record in App Store Connect or add platforms to your existing app record Get started by building and testing your apps using a single bundle ID with Xcode 11 4 beta In addition categories will be unified across the App Store and Mac App Store to align with this change and to help make your apps more discoverable The following changes will be made You ll be able to select the following categories for iOS apps Developer Tools and Graphics Design You ll be able to select the following categories for macOS apps Books Food Drink Magazines Newspapers Navigation and Shopping The Photography and Video categories on the Mac App Store will be combined into Photo Video Mac apps and pending updates with the Photography or Video category selected in App Store Connect will be moved automatically to the combined category Kids will no longer be a subcategory within Games on the Mac App Store As a reminder you can change the categories and subcategories associated with your app at any time with an app update Download Xcode 11 4 beta Learn how to edit app information in App Store Connect,,,Apple,https://developer.apple.com/news/?id=02052020a,4,2
Membership Fee Waivers Now Available in More Countries,We re pleased to announce that Apple Developer Program membership is now available at no cost for eligible organizations based in Australia Canada France Germany Israel Italy Mexico and South Korea Nonprofit organizations accredited educational institutions and government entities that plan to distribute only free apps on the App Store can request to have their annual membership fee waived Learn about membership fee waivers,,,Apple,https://developer.apple.com/news/?id=02032020a,0,4
App Updates for HTML5 Apps,The App Store Review Guidelines are designed to help developers create apps that are secure high quality reliable and that respect user privacy In order to ensure this we ve always specified that all apps be self contained bundles This means that the core features and functionality of the app must be contained within the software s binary rather than made possible by referring users outside of the approved app including through the use of HTML5 Apps that dynamically provide core features and functionality with web technology like HTML5 are best delivered through Safari rather than through the curated App Store Guideline 4 7 sections 4 5 and 6 were updated in June 2019 to further clarify that apps containing or running code that is not embedded in the binary cannot provide access to real money gaming lotteries or charitable donations As a reminder existing apps must be in full compliance with these guidelines by March 3 2020 ,,,Apple,https://developer.apple.com/news/?id=01212020a,4,2
App Updates in the Kids Category,When parents visit the Kids category on the App Store they expect that the apps they find are suitable for children That s why apps published on the App Store must protect children s data and provide only age appropriate content Apps must also require a parental gate in order to link out of the app request permissions or present purchasing opportunities It s critical that apps do not transmit personally identifiable information or device information to third parties and that advertisements are human reviewed for age appropriateness in order to be displayed As a reminder existing apps in the Kids category on the App Store must be in full compliance with the updated guideline 1 3 and guideline 5 1 4 by March 3 2020 Learn about building apps for kids,,,Apple,https://developer.apple.com/news/?id=01212020b,4,2
Upcoming Price and Tax Changes in Pakistan Thailand and Singapore,When taxes or foreign exchange rates change we sometimes need to update prices on the App Store In the next few days prices of apps on the App Store and in app purchases excluding auto renewable subscriptions will change in the following countries Thailand Prices will decrease due to changes in foreign exchange rates Pakistan Prices will increase due to changes in foreign exchange rates Additionally on January 1 2020 a 7 goods and services tax GST was introduced in Singapore Developers based in Singapore who provide their GST number in App Store Connect will not have their proceeds affected Otherwise proceeds will be adjusted accordingly Prices on the App Store won t change based on the introduction of this tax Once these changes go into effect the Pricing and Availability section of My Apps will be updated You can change the price of your apps and in app purchases including auto renewable subscriptions at any time in App Store Connect For subscriptions you have the option to preserve prices for existing subscribers View the updated price tier charts now,,,Apple,https://developer.apple.com/news/?id=01162020a,0,2
Building Adaptive User Interfaces for iPhone and iPad,Apps should look great on all models of iPhone and iPad regardless of display size or aspect ratio With features like Xcode storyboards and Auto Layout your app s interface elements and layouts automatically fit the display As announced at WWDC19 starting April 2020 apps submitted to the App Store must use an Xcode storyboard to provide the app s launch screen and must have an interface that supports any display size Support for Multitasking on iPad is strongly encouraged Adding support for multiple windows and adopting Multitasking capabilities including Slide Over Split View and Picture in Picture will ensure your app delivers a modern and complete experience on iPadOS Learn about designing adaptive interfacesLearn about multitasking on iPad,,,Apple,https://developer.apple.com/news/?id=01132020b,4,2
Introducing Reality Converter,The new Reality Converter app makes it easy to convert view and customize USDZ 3D objects on Mac Simply drag and drop common 3D file formats such as obj gltf and usd to view the converted USDZ result customize material properties with your own textures and edit file metadata You can even preview your USDZ object under a variety of lighting and environment conditions with built in IBL options Download Reality Converter betaView example 3D models using USDZ,,,Apple,https://developer.apple.com/news/?id=01132020a,4,1
Updating Apps that Use Web Views,If your app still embeds web content using the deprecated UIWebView API we strongly encourage you to update to WKWebView as soon as possible for improved security and reliability WKWebView ensures that compromised web content doesn t affect the rest of an app by limiting web processing to the app s web view And it s supported in iOS and macOS and by Mac Catalyst The App Store will no longer accept new apps using UIWebView as of April 2020 and app updates using UIWebView as of December 2020 Learn more about WKWebView,,,Apple,https://developer.apple.com/news/?id=12232019b,4,4
Update to Notarization Prerequisites,In June we announced that all Mac software distributed outside the Mac App Store must be notarized by Apple in order to run by default on macOS Catalina In September we temporarily adjusted the notarization prerequisites to make this transition easier and to protect users on macOS Catalina who continue to use older versions of software Starting February 3 2020 all submitted software must meet the original notarization prerequisites If you haven t yet done so upload your software to the notary service and review the developer log for warnings These warnings will become errors starting February 3 and must be fixed in order to have your software notarized Software notarized before February 3 will continue to run by default on macOS Catalina As a reminder all installer packages must be signed since they may contain executable code Disk images do not need to be signed although signing them can help your users verify their contents Learn about notarizing software,,,Apple,https://developer.apple.com/news/?id=12232019a,0,4
Apple Security Bounty,As part of Apple s commitment to security we reward researchers who share critical issues with us through the Apple Security Bounty You can now earn up to 1 500 000 and report issues on iOS iPadOS macOS tvOS watchOS and iCloud In addition Apple offers public recognition for those who submit valid reports and will match donations of the bounty payment to qualifying charities Learn more,,,Apple,https://developer.apple.com/news/?id=12192019a,4,4
Apple Joins New Smart Home Initiative,Apple is taking a major step in its approach to the smart home by joining a new industry effort with Amazon Google Zigbee Alliance and others The initiative aims to develop an open standard that will increase the compatibility of smart home products across multiple platforms with security and privacy as fundamental design tenets The new standard will make it even simpler for developers to build one device that is compatible with smart home services and voice assistants while ensuring consumers can easily choose smart home products that seamlessly work together Learn more about the initiative,,,Apple,https://developer.apple.com/news/?id=12182019a,4,11
Apple Developer App Updates for China Mainland,Now it s simpler than ever for developers based in China mainland to enroll in the Apple Developer Program The Apple Developer app now supports enrollment in China mainland allowing developers to start and finish their membership purchase with local payment methods on iPhone or iPad And since membership is provided as an auto renewable subscription keeping your account active is easy View on the App Store app ,,,Apple,https://developer.apple.com/news/?id=12172019b,4,4
App Store Connect Holiday Schedule,As a reminder new apps and app updates will not be accepted December 23 to 27 Pacific Time so any releases should be scheduled submitted and approved in advance Other App Store Connect and developer account features will remain available ,,,Apple,https://developer.apple.com/news/?id=12172019a,4,2
Announcing the Best of 2019 Winners,Every year the App Store s Best Of celebration honors a select group of innovative beautifully designed culturally interesting apps and games with exceptional production quality Congratulations to the 2019 winning developers See this year s selections,,,Apple,https://developer.apple.com/news/?id=12022019a,4,5
App Store Connect Holiday Schedule,The busiest season on the App Store is almost here Make sure your apps are up to date and ready for the holidays New apps and app updates will not be accepted December 23 to 27 Pacific Time so any releases should be scheduled submitted and approved in advance Other App Store Connect and developer account features will remain available ,,,Apple,https://developer.apple.com/news/?id=11292019a,4,2
